"id";"content";"created_at";"updated_at"
"089ae706-4a0a-47ca-ae38-707357691ea3";"be careful!";"2019-12-06 11:01:03";"2019-12-06 11:01:03"
"09b321f8-9759-443d-adf1-932a86794f98";"comment reply";"2019-12-03 21:54:40";"2019-12-03 21:54:40"
"0fc3dca1-3b2d-451b-bfad-b0c3bc74167b";"comment logged in";"2019-12-03 21:29:29";"2019-12-03 21:29:29"
"1";"same here";"2019-10-12 02:10:00";"2019-10-12 02:35:00"
"10";"I want some";"2019-10-05 03:05:00";"2019-10-05 03:25:00"
"11";"Good Luck!!!";"2019-08-02 04:30:00";"2019-08-02 04:40:00"
"12";"Yup, it's the best";"2019-09-14 02:02:00";"2019-09-14 02:12:00"
"13";"My kids are waiting for that!";"2019-08-02 03:30:00";"2019-08-02 03:50:00"
"14";"I also have two midterms";"2019-10-10 05:40:00";"2019-10-10 05:50:00"
"15";"I just got out from there";"2019-09-20 07:05:00";"2019-09-20 07:20:00"
"16";"I am completly unknown to such stuff. Whom would you recommend this book and why?";"2019-10-15 02:29:36";"2019-10-15 02:29:36"
"17";"It really covers all aspects of computer science. I got this a few years ago when I was beginning to self teach myself. Admittedly I never touched it much and it got lost in my closest. But now that I am in college that will be a different story. I could post the table of contents if you’d like to see them?";"2019-10-15 05:29:36";"2019-10-15 05:29:36"
"18";"Please do";"2019-10-15 08:29:36";"2019-10-15 08:29:36"
"19";"TABLE OF CONTENTS: ...";"2019-10-15 09:29:36";"2019-10-15 09:29:36"
"2";"Why???";"2019-10-10 01:20:00";"2019-10-10 02:00:00"
"20";"Thanks !";"2019-10-15 09:45:36";"2019-10-15 09:45:36"
"21";"The head jerk gets me everytime";"2019-10-14 05:29:36";"2019-10-14 05:29:36"
"22";"Back... and to the left";"2019-10-14 06:29:36";"2019-10-14 06:29:36"
"23";"“Never mind, I figured it out”";"2019-10-10 08:29:36";"2019-10-10 08:29:36"
"24";"How many SO users does it take to change a lightbulb? Nevermind, figured it out myself.";"2019-10-10 08:35:36";"2019-10-10 08:35:36"
"25";"Lol";"2019-10-10 09:45:36";"2019-10-10 09:45:36"
"26";"Artificial Intelligence";"2019-10-15 09:46:36";"2019-10-15 09:46:36"
"27";"Networks";"2019-10-15 09:47:36";"2019-10-15 09:47:36"
"28";"Database";"2019-10-15 09:48:36";"2019-10-15 09:48:36"
"29";"Comp Architecture";"2019-10-15 09:49:36";"2019-10-15 09:49:36"
"3";"Congratulation!";"2019-08-14 05:05:00";"2019-08-14 05:10:00"
"30";"Formal Languages";"2019-10-15 09:50:36";"2019-10-15 09:50:36"
"31";"Data Structures and Algorithms";"2019-08-06 01:35:00";"2019-08-06 01:35:00"
"32";"Python";"2019-08-06 01:35:00";"2019-08-06 01:35:00"
"33";"Discrete Math";"2019-08-06 01:35:00";"2019-08-06 01:35:00"
"34";"Game Design";"2019-08-06 01:35:00";"2019-08-06 01:35:00"
"35";"Operating Systems";"2019-08-06 01:35:00";"2019-08-06 01:35:00"
"3e98ed07-923a-4cb2-827a-c247852ade4a";"hi";"2019-12-06 21:53:36";"2019-12-06 21:53:36"
"4";"wow, busy weekend";"2019-08-10 07:00:05";"2019-08-10 07:10:05"
"4f58585b-77e9-462f-ab1f-7ac53bba2d9b";"test";"2019-12-03 20:58:25";"2019-12-03 20:58:25"
"5";"take care";"2019-07-30 03:10:00";"2019-07-30 03:35:00"
"6";"yeah, I am excited, too";"2019-09-20 05:02:00";"2019-09-20 05:12:00"
"6557931a-1065-4f42-b5e7-e105e83a2c3b";"Another one";"2019-12-03 21:03:48";"2019-12-03 21:03:48"
"7";"Aww, it's so adorable!";"2019-09-14 06:02:00";"2019-09-14 06:08:00"
"8";"Who did you go with?";"2019-09-07 01:20:00";"2019-09-07 01:30:00"
"8cbfedda-263a-452d-b424-795c0855bb51";"test add comment";"2019-12-03 20:59:37";"2019-12-03 20:59:37"
"9";"Have a nice day!";"2019-08-06 01:35:00";"2019-08-06 02:05:00"
"b1af5b67-457b-4bd4-b706-0543acf87ec5";"Same here, busy with project!";"2019-12-03 22:36:24";"2019-12-03 22:36:24"
"bbbe7519-ba1f-49b7-8c0e-2c0a6d3e8802";"Test comment ";"2019-12-05 04:48:34";"2019-12-05 04:48:34"
"ff55b16c-a454-4873-8d17-a1022dcbf7cd";"logged in comment reply";"2019-12-03 21:38:24";"2019-12-03 21:38:24"
