"post_id";"com_id"
"09c33eed-13b0-46db-941b-509fec766068";"ff55b16c-a454-4873-8d17-a1022dcbf7cd"
"1";"1"
"1";"2"
"1";"3"
"2";"4"
"2";"5"
"2";"6"
"22d8c759-ba39-457e-8ec7-f93d0f39f0b5";"b1af5b67-457b-4bd4-b706-0543acf87ec5"
"2874ae82-c883-45dc-ba50-4a3101bbc69f";"3e98ed07-923a-4cb2-827a-c247852ade4a"
"3";"7"
"3";"8"
"3";"9"
"4";"10"
"4";"11"
"4";"12"
"5";"089ae706-4a0a-47ca-ae38-707357691ea3"
"5";"0fc3dca1-3b2d-451b-bfad-b0c3bc74167b"
"5";"4f58585b-77e9-462f-ab1f-7ac53bba2d9b"
"587b33ca-ad10-403f-abd5-571e386d876a";"bbbe7519-ba1f-49b7-8c0e-2c0a6d3e8802"
"6";"13"
"6";"14"
"6";"15"
"8";"6557931a-1065-4f42-b5e7-e105e83a2c3b"
"8";"8cbfedda-263a-452d-b424-795c0855bb51"
"88241fb9-35c8-4113-9f65-b5f300ef3486";"09b321f8-9759-443d-adf1-932a86794f98"
