"user_id";"channel_id"
"6";"2"
"6";"3"
"7";"2"
"7";"3"
"8";"6"
"9";"6"
"12";"5"
"10";"7"
"12";"7"
"13";"10"
"1";"10"
"1";"12"
"14";"11"
"2";"15"
"3";"15"
"ab284fb0-eeb1-4299-ba9f-4ff12debe256";"7"
"f26a12e1-5c58-4a69-922e-480a132835d2";"7"
"6e594773-f28f-4efe-9e8b-f211af0d0851";"7"
"da7e8692-839f-4001-87a3-c4676fe5110b";"2"
"ab284fb0-eeb1-4299-ba9f-4ff12debe256";"2"
"6e594773-f28f-4efe-9e8b-f211af0d0851";"10"
"6e594773-f28f-4efe-9e8b-f211af0d0851";"15"
"5f10681b-8a9e-4299-83f2-a66134f18c2f";"2"
"6e594773-f28f-4efe-9e8b-f211af0d0851";"6"
"6e594773-f28f-4efe-9e8b-f211af0d0851";"2"
